inspection_id,make,model,registration_year,variant
in545520221025100752,Hyundai,Santro,2013,Hyundai Santro Xing Gls Plus Audio (1086 Cc) (1086CC) petrol
in959420221031042937,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios Sportz Dual Tone (1197CC) petrol
in597220221031050202,Hyundai,Elite i20,2014,Hyundai Elite i20 Sportz (1396CC) diesel
in794020221031051840,Hyundai,Grand i10,2014,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) (1197CC) petrol
in455920221031052020,Hyundai,I10 1.2 Kappa,2012,Hyundai I10 1.2 Kappa Magna (1197 Cc) (1197CC) petrol
in690020221031054408,Hyundai,i20,2016,Hyundai i20 Elite 1.2 Asta Kappa Dual Vtvt 5-Speed Manual Petrol (1197 Cc) (1197CC) petrol
in541420221031055614,Hyundai,Xcent,2016,Hyundai Xcent SX Option AT (1197CC) petrol
in295720221031060917,Hyundai,Verna,2020,Hyundai Verna SX (1599CC) petrol
in281520220617074321,Hyundai,Santro,2013,Hyundai Santro Magna (1086CC) petrol
in386820221031061702,Hyundai,Eon,2017,Hyundai Eon Sportz (814CC) petrol
in835020221031063016,Hyundai,Creta,2018,Hyundai Creta SX 1.6 Petrol (1591CC) petrol
in593220221031063251,Hyundai,Grand i10 Nios,NA,Hyundai Grand i10 Nios 1.2 MT Sportz (1197CC) internal_lpg_cng
in129820221031083254,Hyundai,i20,2015,Hyundai i20 Asta Option (1396CC) diesel
in819020221031090726,Hyundai,Elite i20,2014,Hyundai Elite i20 Sportz 1.4 (O) (1396CC) diesel
in309120221031110103,Hyundai,i10,2014,Hyundai i10 Magna 1.1 iRDE2 (1086CC) petrol
in390220221031123418,Hyundai,Eon,2015,Hyundai Eon D-Lite (814CC) internal_lpg_cng
in583120221031132903,Hyundai,Creta,2021,Hyundai Creta SX 1.5 (1493CC) diesel
in812320221031133924,Hyundai,Venue,2021,Hyundai Venue 1.0 SX (998CC) petrol
in192020221101051754,Hyundai,Verna,2018,Hyundai Verna 1.4 VTVT E (1396CC) petrol
in973320221101081423,Hyundai,I20 (2020),NA,Hyundai I20 (2020) 1.2 Sportz IVT (1197CC) petrol
in559420221101083845,Hyundai,Creta,2017,Hyundai Creta 1.6 VTVT E Plus (1591CC) petrol
in868820221101091929,Hyundai,i20,2019,Hyundai i20 Elite 1.2 Sportz Kappa Dual Vtvt 5-Speed Manual Petrol (1197 Cc) (1197CC) petrol
in578020221101095548,Hyundai,Elantra,2016,Hyundai Elantra 2.0 SX MT (1999CC) petrol
in853020221101102835,Hyundai,i20,2014,Hyundai i20 Era 1.2 BS-IV (1197CC) petrol
in103220221101111059,Hyundai,Verna,2008,Hyundai Verna 1.6 GLS (1599CC) petrol
in925120221102032244,Hyundai,Aura,2021,Hyundai Aura 1.2 SX Petrol (1197CC) petrol
in267720221102032959,Hyundai,i10,2013,Hyundai i10 1.2L KAPPA SPORTZ (1197CC) petrol
in194020221102041546,Hyundai,Creta,2022,Hyundai Creta 1.4 S Plus Turbo DCT (1353CC) petrol
in614520221102053403,Hyundai,Elite i20,2015,Hyundai Elite i20 Magna (1396CC) diesel
in730020221102071435,Hyundai,Grand i10,2016,Hyundai Grand i10 Magna 1.1 CRDi (1197CC) diesel
in770020221102083219,Hyundai,Creta,2018,Hyundai Creta SX 1.6 CRDI (O) (1582CC) diesel
in982720221102092208,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios Asta (1197CC) petrol
in523520221102092730,Hyundai,Grand i10,2018,Hyundai Grand i10 Asta U2 1.2 CRDi (1186CC) diesel
in366220221102094744,Hyundai,Xcent,2014,Hyundai Xcent 1.2L Kappa Dual Vtvt 5-Speed Manual S (O) (1197 Cc) (1197CC) petrol
in679420221102113311,Hyundai,Creta,2015,Hyundai Creta S 1.6 AT CRDI (1582CC) diesel
in402320221012043147,Hyundai,Santro,2013,Hyundai Santro Era (1086CC) petrol
in916020221103031839,Hyundai,Grand i10,2017,Hyundai Grand i10 Prime ERA T (1120CC) diesel
in766820221103043633,Hyundai,i10,2010,Hyundai i10 Era Solid BS-1V (1100CC) petrol
in135120221103050508,Hyundai,Grand i10,2014,Hyundai Grand i10 Asta Option (1197CC) petrol
in316020221103072757,Hyundai,Creta,2021,Hyundai Creta 1.6 CRDI AT S PLUS (1582CC) diesel
in963820221021054441,Hyundai,Santro,2012,Hyundai Santro Xing GLS (1086CC) petrol
in711620221103082442,Hyundai,Verna,2013,Hyundai Verna 1.6 Sx Vtvt (1599 Cc) (1599CC) petrol
in854520221103083233,Hyundai,Creta,2020,Hyundai Creta SX 1.4 Turbo DCT (1353CC) petrol
in884320221103085019,Hyundai,Creta,2016,Hyundai Creta 1.4 S Plus (1396 Cc) (1396CC) diesel
in559420221103145753,Hyundai,I20 (2020),NA,Hyundai I20 (2020) 1.5 Asta(O) CRDi (1493CC) diesel
in694120221104091816,Hyundai,i20,2011,Hyundai i20 1.4 Dsl Magna (O) (1396 Cc) (1396CC) diesel
in496720221104095732,Hyundai,Grand i10 Nios,NA,Hyundai Grand i10 Nios 1.2 Sportz Kappa VTVT CNG (1197CC) internal_lpg_cng
in587220221104104247,Hyundai,Grand i10 Nios,2021,Hyundai Grand i10 Nios AMT Magna (1197CC) petrol
in767820221104120332,Hyundai,Xcent,2018,Hyundai Xcent E (1197CC) petrol
in870020221105025749,Hyundai,Venue,2021,Hyundai Venue 1.5 SX(O) (1493CC) diesel
in132220221105051606,Hyundai,I10 1.1,2009,Hyundai I10 1.1 Era (1086 Cc) (1086CC) petrol
in439120221105054841,Hyundai,Grand i10,2017,Hyundai Grand i10 Prime Sports (1120CC) diesel
in414220221105073713,Hyundai,i20,2015,Hyundai i20 Elite I20 Magna 1.4 At Vtvt (1396CC) petrol
in414620221105090235,Hyundai,Verna,2014,Hyundai Verna 1.4 VTVT EX (1396CC) petrol
in354520221105090332,Hyundai,Verna,2014,Hyundai Verna 1.4 CX VTVT (1396CC) petrol
in490720221106061511,Hyundai,Creta,2021,Hyundai Creta E 1.5 (1493CC) diesel
in810520221106064536,Hyundai,Grand i10,2016,Hyundai Grand i10 Magna (1120CC) diesel
in169120221106084540,Hyundai,Elite i20,2018,Hyundai Elite i20 Magna Executive 1.2 (1197CC) petrol
in872920221107032428,Hyundai,Creta,NA,Hyundai Creta S (1497CC) petrol
in882720221107034037,Hyundai,i20,2016,Hyundai i20 Magna Option (1197CC) petrol
in169020221107043753,Hyundai,Grand i10,2014,Hyundai Grand i10 Asta Option (1120CC) diesel
in682620221107043930,Hyundai,Aura,NA,Hyundai Aura 1.2 S CNG (1197CC) internal_lpg_cng
in349320221107072744,Hyundai,Fluidic Verna,2015,Hyundai Fluidic Verna 1.6 CRDI SX Option AT (1582CC) diesel
in894720221107091227,Hyundai,Venue,2019,Hyundai Venue 1.4 SX CRDi Dual Tone (1396CC) diesel
in330820221107121947,Hyundai,Creta,NA,Hyundai Creta SX Opt IVT (1497CC) petrol
in431120221107123812,Hyundai,i20,2015,Hyundai i20 Sportz Option (1197CC) petrol
in295820221108034131,Hyundai,Xcent,2015,Hyundai Xcent S (1197CC) internal_lpg_cng
in678820221108045051,Hyundai,Creta,2020,Hyundai Creta SX 1.5 (1497CC) petrol
in924920221028014302,Hyundai,Santro,2012,Hyundai Santro Xing GLS SOLID (1086CC) petrol
in433820221108071048,Hyundai,Grand i10 Nios,2022,Hyundai Grand i10 Nios 1.2 Magna Kappa VTVT Corporate (1197CC) petrol
in619620221108082345,Hyundai,Xcent,2014,Hyundai Xcent SX (1120CC) diesel
in109220221108082935,Hyundai,Xcent,2017,Hyundai Xcent SX CRDi (1186CC) diesel
in263620221108084022,Hyundai,i20,2018,Hyundai i20 Asta Option AT (1396CC) petrol
in930620220825101510,Hyundai,Santro,2012,Hyundai Santro Xo (1086 Cc) (1086CC) petrol
in384420221108092547,Hyundai,Grand i10 Nios,2017,Hyundai Grand i10 Nios Asta CRDi (1186CC) diesel
in178320221210064821,Hyundai,i20,2016,Hyundai i20 Asta 1.4 CRDI with AVN 6 Speed (1396CC) diesel
in734320221210102328,Hyundai,Verna,2016,Hyundai Verna 1.6 CRDI EX AT (1582CC) diesel
in787320221210115340,Hyundai,i20,2011,Hyundai i20 1.4L SPORTZ (1396CC) petrol
in979620221211040904,Hyundai,Venue,2019,Hyundai Venue 1.0 SX Turbo Kappa GDI (998CC) petrol
in814120221211041400,Hyundai,I20 (2020),NA,Hyundai I20 (2020) 1.2 Asta (1197CC) petrol
in316420221211062555,Hyundai,Fluidic Verna,2014,Hyundai Fluidic Verna 1.6 VTVT S (1591CC) petrol
in228220221211073255,Hyundai,i20,2017,Hyundai i20 Elite 1.2 Sportz (O) Kappa Dual Vtvt 5-Speed Manual Petrol (1197 Cc) (1197CC) petrol
in226520221211081907,Hyundai,Xcent,2016,Hyundai Xcent Base (1197CC) petrol
in577520221211084727,Hyundai,i10,2013,Hyundai i10 Sportz (1086CC) internal_lpg_cng
in177620221211100504,Hyundai,i10,2012,Hyundai i10 Magna (1197CC) internal_lpg_cng
in381820221211104901,Hyundai,Verna,2012,Hyundai Verna 1.6 VTVT SX(O) AT Anniversry Edition (1591CC) petrol
in924020221212050900,Hyundai,Accent,2009,Hyundai Accent 1.5 GLE (1493CC) diesel
in569720221212051658,Hyundai,Active i20,2015,Hyundai Active i20 SX (1197CC) petrol
in421520221212063523,Hyundai,Alcazar,NA,Hyundai Alcazar 1.5 Signature(O) AT 7STR (1493CC) diesel
in453220221212073243,Hyundai,Venue,NA,Hyundai Venue 1.0 S(O) IMT (998CC) petrol
in905820221212084603,Hyundai,Venue,NA,Hyundai Venue 1.2 S Petrol (2022) (1197CC) petrol
in169320221212101348,Hyundai,Active i20,2016,Hyundai Active i20 S (1396CC) diesel
in910320221212101545,Hyundai,i20,2015,Hyundai i20 Active 1.2 Base (1197 Cc) (1197CC) petrol
in932520221212104208,Hyundai,Creta,2022,Hyundai Creta 1.5 SX(O) iVT Petrol Knight (1497CC) petrol
in922720221212104426,Hyundai,Elite i20,NA,Hyundai Elite i20 Magna Plus 1.2 (1197CC) petrol
in565420221212113601,Hyundai,Aura,NA,Hyundai Aura SX CNG (1197CC) internal_lpg_cng
in940020221213040016,Hyundai,i10,2021,Hyundai i10 Asta 1.2 Kappa2 (1197CC) petrol
in678020221213052012,Hyundai,Creta,2021,Hyundai Creta SX (O) 1.4 Turbo DCT (1353CC) petrol
in736120221213052140,Hyundai,I20 (2020),2022,Hyundai I20 (2020) 1.5 Sportz CRDi (1493CC) diesel
in997820221213054626,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios Magna CRDi (1186CC) diesel
in748820221213055849,Hyundai,Venue,NA,Hyundai Venue 1.2 SX Petrol (2022) (1197CC) petrol
in195920221213060249,Hyundai,Verna,2021,Hyundai Verna 1.0 Turbo SX(O) DCT (998CC) petrol
in671020221021110311,Hyundai,Santro,2011,Hyundai Santro XING ERLX (1086CC) petrol
in345020221213071135,Hyundai,I20 (2020),2022,Hyundai I20 (2020) 1.2 Sportz (1197CC) petrol
in353720221213081059,Hyundai,Elite i20,2017,Hyundai Elite i20 Magna Executive 1.4 CRDI (1396CC) diesel
in694020221213084854,Hyundai,Getz,2009,Hyundai Getz GVS 1.1 (1086CC) petrol
in276420221213104256,Hyundai,Active i20,2015,Hyundai Active i20 SX (1396CC) diesel
in498220221213132834,Hyundai,Elantra,2018,Hyundai Elantra CRDI 1.6 SX AT (1582CC) diesel
in657420221214051355,Hyundai,Creta,2017,Hyundai Creta 1.6 SX (O) Executive (1591CC) petrol
in135120221214053733,Hyundai,Venue,NA,Hyundai Venue 1.0 S(O) (998CC) petrol
in584320221214083555,Hyundai,Creta,2016,Hyundai Creta 1.6 Sx Plus-Diesel (1582 Cc) (1582CC) diesel
in343820221214090247,Hyundai,Getz,2008,Hyundai Getz GVS (1341CC) petrol
in440520221214094903,Hyundai,Creta,2016,Hyundai Creta VTVT SX Plus AT (1591CC) petrol
in250720221214110948,Hyundai,Creta,2019,Hyundai Creta SX 1.6 AT Perol (1591CC) petrol
in892120221214121104,Hyundai,Xcent,2014,Hyundai Xcent SX Option (1120CC) diesel
in391220221214122724,Hyundai,Tucson,2019,Hyundai Tucson 2.0 e-VGT 2WD AT GL (1995CC) diesel
in841020221215034236,Hyundai,i10,2008,Hyundai i10 Magna Option (1086CC) petrol
in206820221215050902,Hyundai,Verna,2018,Hyundai Verna 1.6 CRDI SX Plus AT (1582CC) diesel
in799220221215052145,Hyundai,Grand i10 Nios,2022,Hyundai Grand i10 Nios 1.2 Asta AMT (1197CC) petrol
in828220221215104126,Hyundai,Eon,2013,Hyundai Eon Era + SE (814CC) petrol
in907020221215115547,Hyundai,Eon,2015,Hyundai Eon Magna + SE (814CC) petrol
in391920221215115803,Hyundai,Verna,2015,Hyundai Verna 1.6 CRDI EX (1582CC) diesel
in131720221215124513,Hyundai,i10,2011,Hyundai i10 1.1L iRDE Magna Special Edition (1086CC) petrol
in790920221216051747,Hyundai,i20,2017,Hyundai i20 Elite 1.4 Sportz U2 Crdi 6-Speed Manual Diesel (1396 Cc) (1396CC) diesel
in344420221216070454,Hyundai,Grand i10,2017,Hyundai Grand i10 Sportz U2 1.2 CRDI Dual Tone (1186CC) diesel
in912920221216104517,Hyundai,I20 ACTIVE,2015,Hyundai I20 ACTIVE 1.4 (1396CC) diesel
in133020221217025913,Hyundai,Eon,2013,Hyundai Eon D-Lite + AirBag (814CC) petrol
in461020221217030100,Hyundai,Venue,2022,Hyundai Venue 1.5 SX (2022) (1493CC) diesel
in788520221217050335,Hyundai,Creta,2015,Hyundai Creta CRDI SX Option (1582CC) diesel
in903120221217060219,Hyundai,i20,2014,Hyundai i20 Asta 1.4 AVN (1396CC) diesel
in699320221217072317,Hyundai,Accent,2007,Hyundai Accent GLE (1495CC) petrol
in799720221217094118,Hyundai,Fluidic Verna,2016,Hyundai Fluidic Verna 1.6 VTVT SX AT (1591CC) petrol
in398120221217105332,Hyundai,Alcazar,2021,Hyundai Alcazar 1.5 Signature (1493CC) diesel
in984420221217130334,Hyundai,Grand i10,2018,Hyundai Grand i10 Prime ERA T Plus (1120CC) diesel
in339920221218082752,Hyundai,Fluidic Verna,2014,Hyundai Fluidic Verna 1.4 Base (1396CC) petrol
in269720221218094935,Hyundai,Grand i10,2019,Hyundai Grand i10 Asta 1.2 Kappa VTVT (1197CC) petrol
in422320221218102034,Hyundai,I10 1.2 Kappa,2013,Hyundai I10 1.2 Kappa Sportz Option (1197 Cc) (1197CC) petrol
in340520221219045219,Hyundai,Grand i10 Nios,NA,Hyundai Grand i10 Nios Magna (1197CC) internal_lpg_cng
in268620221219090102,Hyundai,Venue,NA,Hyundai Venue 1.0 SX(O) DCT Petrol (2022) (998CC) petrol
in623920221219101119,Hyundai,Elite i20,2014,Hyundai Elite i20 Sportz Option (1197CC) petrol
in477520221219113429,Hyundai,I10 1.2 Kappa,2011,Hyundai I10 1.2 Kappa Gls Sportz Auto Trans (1197 Cc) (1197CC) petrol
in595520221027064028,Hyundai,Santro Xing,2011,Hyundai Santro 1.1 GL (1086CC) petrol
in316620220520061416,Hyundai,i20,2014,Hyundai i20 Sportz 1.4 CRDI 6 Speed BS-IV (1396CC) diesel
in502120220520062944,Hyundai,i20,2020,Hyundai i20 1.2L ASTA O WITH SUNROOF (1197CC) petrol
in603520220520070455,Hyundai,i20,2020,Hyundai i20 1.2 SPORTZ ALLOY (1197CC) petrol
in507220220520091245,Hyundai,Grand i10,2017,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT (1197CC) petrol
in107620220520095326,Hyundai,Elantra,2014,Hyundai Elantra 1.8 SX AT (1797CC) petrol
in744920220520101103,Hyundai,Xcent,2016,Hyundai Xcent SX Option MT (1197CC) petrol
in699620220520131624,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios 1.2 Asta Kappa AT VTVT (1197CC) petrol
in333520220521093230,Hyundai,Xcent,2016,Hyundai Xcent S 1.1 CRDi Special Edition (1120CC) diesel
in662220220521100015,Hyundai,Verna,2021,Hyundai Verna 1.5 VTVT SX(O) IVT (1497CC) petrol
in817920220522080953,Hyundai,I20 (2020),NA,Hyundai I20 (2020) 1.0 Asta(O) Turbo GDI DCT (998CC) petrol
in852420220522081648,Hyundai,Creta,2016,Hyundai Creta 1.6 CRDi Base (1582CC) diesel
in280920220523041158,Hyundai,Creta,2017,Hyundai Creta SX 1.6 Dual Tone Petrol (1591CC) petrol
in921320220523045239,Hyundai,Grand i10,2017,Hyundai Grand i10 Sports Optional 1.2 (1120CC) diesel
in167020220523051638,Hyundai,i10,2011,Hyundai i10 Sportz Option (1197CC) petrol
in641920220523054233,Hyundai,Verna,2020,Hyundai Verna 1.5 CRDi SX (1493CC) diesel
in856220220523065131,Hyundai,Elantra,2012,Hyundai Elantra CRDI (1991CC) diesel
in952820220523071404,Hyundai,Alcazar,2021,Hyundai Alcazar 2.0 Signature(O) (1999CC) petrol
in779920221031032306,Hyundai,Santro Xing,2011,Hyundai Santro 1.1 GS (1086CC) internal_lpg_cng
in716320220523092348,Hyundai,Accent,2013,Hyundai Accent GLE (1495CC) internal_lpg_cng
in263620220523102141,Hyundai,Verna,2011,Hyundai Verna Crdi Sx_Abs (1493 Cc) (1493CC) diesel
in477120220523110210,Hyundai,Verna,2018,Hyundai Verna 1.4 VTVT EX (1368CC) petrol
in651420220524035255,Hyundai,Grand i10,2016,Hyundai Grand i10 Asta 1.1 CRDi (O) (1120CC) diesel
in248520220524042112,Hyundai,Creta,2018,Hyundai Creta 1.4 S (1396 Cc) (1396CC) diesel
in755520220524045241,Hyundai,i20 N Line,2022,Hyundai i20 N Line N8 Dual Tone (998CC) petrol
in829320220524054432,Hyundai,Aura,2021,Hyundai Aura 1.2 SX+ AMT Petrol (1197CC) petrol
in585620221024044247,Hyundai,Santro Xing,2010,Hyundai Santro Xing GL (1086CC) internal_lpg_cng
in882320220524071110,Hyundai,Accent,2011,Hyundai Accent 1.5 GLS (1495CC) petrol
in217720220524074642,Hyundai,Fluidic Verna,2017,Hyundai Fluidic Verna 1.6 CRDI SX Option (1582CC) diesel
in888620220524080330,Hyundai,i10,2014,Hyundai i10 1.1 ASTA GLS (1086CC) petrol
in589020220524110548,Hyundai,Xcent,2014,Hyundai Xcent S Option AT (1197CC) petrol
in236620220525103031,Hyundai,Verna,2017,Hyundai Verna SX Option AT (1599CC) petrol
in162220220526082834,Hyundai,i10,2014,Hyundai i10 Sportz 1.1 iRDE2 (1086CC) petrol
in852420220526091945,Hyundai,Eon,2017,Hyundai Eon 1.0 Kappa Magna + (998 Cc) (998CC) petrol
in638420220526093927,Hyundai,i20,2014,Hyundai i20 Elite 1.4 Sportz (O) U2 Crdi 6-Speed Manual Diesel (1396 Cc) (1396CC) diesel
in157320220526105042,Hyundai,Xcent,2017,Hyundai Xcent Base T (1197CC) petrol
in751320220526123843,Hyundai,Creta,2022,Hyundai Creta EX 1.5 (1493CC) diesel
in956620221219131939,Hyundai,Santro,2010,Hyundai Santro LS (1086CC) petrol
in958320220527084146,Hyundai,Verna,2013,Hyundai Verna VGT SX AT (1493CC) diesel
in723320220527101110,Hyundai,i20,2019,Hyundai i20 Sportz AT (1396CC) petrol
in872220220527101815,Hyundai,i20,2013,Hyundai i20 Era (1396CC) diesel
in575820220527113812,Hyundai,Creta,2016,Hyundai Creta 1.6 Sx Diesel (1582 Cc) (1582CC) diesel
in477120220528033851,Hyundai,Verna,2007,Hyundai Verna XI (1599CC) petrol
in496820220528062826,Hyundai,Neo Fluidic Elantra,2013,Hyundai Neo Fluidic Elantra 1.8 SX AT (1797CC) petrol
in406520220528074846,Hyundai,Grand i10,2015,Hyundai Grand i10 Magna 1.1 Pe (1120 Cc) (1120CC) petrol
in810220220528080059,Hyundai,Fluidic Verna,2014,Hyundai Fluidic Verna 1.6 VTVT (1591CC) petrol
in588120220529030659,Hyundai,I10 1.2 Kappa,2010,Hyundai I10 1.2 Kappa Gls Sportz (1197 Cc) (1197CC) petrol
in247220220709044347,Hyundai,Santro,2010,Hyundai Santro Xing GLS (1086CC) internal_lpg_cng
in500720220530112056,Hyundai,Santa Fe,2016,Hyundai Santa Fe 4WD AT (2199CC) diesel
in539420220531070007,Hyundai,i10,2009,Hyundai i10 1.2 L Kappa Magna Special Edition (1197CC) petrol
in963520220531073321,Hyundai,Verna,2014,Hyundai Verna 1.6 Vtvt Sx Auto (1599 Cc) (1599CC) petrol
